image,name,address_1,address_2,phone_number,website,rating,reviews_count,image_source
,Tesco Superstore,Tesco Stores,Burnage Ln,+44 345 677 9869,https://www.tesco.com/store-locator/manchester/tesco-stores?sc_cmp=ref*yg*stc*5128&utm_source=yext_google&utm_campaign=local_Superstore_England&utm_medium=organic,3.8,351,https://lh5.googleusercontent.com/p/AF1QipMKs-I5uOC0NKeJSen-FTZGtZGg-RbmHnL_W9Dj
,Tesco Superstore,Manchester Rd,Droylsden,+44 345 677 9214,https://www.tesco.com/store-locator/manchester/manchester-rd?sc_cmp=ref*yg*stc*2401&utm_source=yext_google&utm_campaign=local_Superstore_England&utm_medium=organic,4.1,218,https://lh5.googleusercontent.com/p/AF1QipNLGM6vwv_MlTHpM50hWKpZ3cN0wNIstwkdHDA2
,Selfridges Manchester Exchange,1 Exchange Sq,"Central, Manchester",+44 20 7160 6222,http://www.selfridges.com/GB/en/features/info/stores/manchester-exchange-square,4.4,5381,https://lh5.googleusercontent.com/p/AF1QipO3WiDkTnZOKoVfVbD_xVUj9ckTmrgILDtJjM4o
,B&M Home Store with Garden Centre,641 Hyde Rd,Manchester,+44 330 838 9459,https://www.bmstores.co.uk/stores/manchester-belle-vue-459,4.3,2520,https://lh5.googleusercontent.com/p/AF1QipMR-8mIoswN9FoZAj01jZ41kviu-b8stm7I0J5h
,B&M Home Store,Unit 11,North City Shopping Centre,+44 330 838 9116,https://www.bmstores.co.uk/stores/harpurhey-116,4.3,678,https://lh5.googleusercontent.com/p/AF1QipN0AaC6WsweB_EZyxYX3FMEzw6GhcdNxNqDxvfj
,Tesco Extra,Hyde Rd,Gorton,+44 345 026 9559,https://www.tesco.com/store-locator/manchester/hyde-road?sc_cmp=ref*yg*stc*5566&utm_source=yext_google&utm_campaign=local_Extra_England&utm_medium=organic,3.7,578,https://lh5.googleusercontent.com/p/AF1QipMdWhGUPr7djP7PB-vQB4KvOptKjsd3iguWPKFf
,Tesco Superstore,Tesco Stores Ltd,Parrs Wood Ln,+44 345 677 9239,https://www.tesco.com/store-locator/manchester/tesco-stores-ltd-85a073c9-ecbb-4a0d-829c-4fdc360b11a5?sc_cmp=ref*yg*stc*2440&utm_source=yext_google&utm_campaign=local_Superstore_England&utm_medium=organic,4,271,https://lh5.googleusercontent.com/p/AF1QipNFBawSbE0tOaJT97VAwT1HobJ3LxBdkgP9oQED
,Morrisons,Poplar St,Failsworth,+44 161 682 7740,https://my.morrisons.com/storefinder/22,4.1,1454,https://lh5.googleusercontent.com/p/AF1QipMa9gXvrm2HYol02RAMeHja3_vRBPs1JM0MCJ08
,B&M Home Store with Garden Centre,Kingsway,Burnage,+44 330 838 9586,https://www.bmstores.co.uk/stores/burnage-586,4.2,2063,https://lh5.googleusercontent.com/p/AF1QipOz8iKRtutO9HJT-1Wp2IJmVGATNwHFLilu4tcV
,Costco Oldham,Broadway,Chadderton,+44 161 684 2005,https://www.costco.co.uk/store-finder/Oldham,4.4,2539,https://lh5.googleusercontent.com/p/AF1QipO8S3TmjfXaicvWBJDNo9EQaola54i-OSjTy274
,Tesco Extra,737 Chester Rd,"Old Trafford, Stretford",+44 345 671 9562,https://www.tesco.com/store-locator/manchester/737-chester-road?sc_cmp=ref*yg*stc*5458&utm_source=yext_google&utm_campaign=local_Extra_England&utm_medium=organic,4,827,https://lh5.googleusercontent.com/p/AF1QipNlcCWUnUrN2AP0tEuDY7kEnk_pIybC4mhqjijI
,Asda Eastlands Supercentre,Sport City,ASDA,+44 161 230 3500,http://storelocator.asda.com/store/eastlands-supercentre,3.8,884,
,Morrisons,Tweedale Way,Chadderton,+44 161 682 1114,https://my.morrisons.com/storefinder/57,4.1,2974,https://lh5.googleusercontent.com/p/AF1QipMdRVqEJR5LQP_wpiqNkoxL3RfR_1GUsZAMdSUP
,Sainsbury's,Oldham St,Denton,+44 161 335 0929,https://stores.sainsburys.co.uk/0886/denton?utm_source=gmb&utm_medium=yext&y_source=1_MTU1NjYzMDEtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,4.2,2213,https://lh5.googleusercontent.com/p/AF1QipNZBQrjMqUjAqe4lV-JQhTfF9CUFnt4KK2q7aua
,NOTE skateboard shop,61 Thomas St,Manchester,+44 161 839 7077,http://www.noteshop.co.uk/,4.7,119,https://lh5.googleusercontent.com/p/AF1QipNXw6nSEDe-lhGGdqAzWm6dfuAFklojbjOAUTdF
,Creamy rolls ice cream shop,699 Main St,"Manchester, CT 06042",,,4.6,86,https://lh5.googleusercontent.com/p/AF1QipPahI_lImUlQ-f4VX3L9woVfHRPyZNE0wBsSK74
,Poundland,211 Hathersage Rd,Rusholme,+44 161 224 7885,https://www.poundland.co.uk/store-finder,4.2,736,https://lh5.googleusercontent.com/p/AF1QipPsnaEDkLvH8rUpCVqg5vt1lJR187ZH_8CQ9dw
,Royal Ice Cream Co,27 Warren St,"Manchester, CT 06040",(860) 649-5358,http://www.royalicecream.com/,4.6,59,https://lh5.googleusercontent.com/p/AF1QipOtVbHzQxLgu9g9XPZTHAoxVabDX3s5No1Z-Wov
,B&M Store,Unit 2,1221 Ashton Old Rd,+44 330 838 9283,https://www.bmstores.co.uk/stores/openshaw-283,4.3,487,https://lh5.googleusercontent.com/p/AF1QipOtpLTyE2SR0GuqFQ-RO-NedDuCrvMMbUPXvNxu
,The Real Greek Manchester,Corn Exchange,Exchange Sq,+44 161 710 1681,,4.2,1160,https://lh5.googleusercontent.com/p/AF1QipPbs2FLbCEMGnFD5BsHU62wZvfkahnyhgBR3oGT
,Sainsbury's,100 Regent Rd,Salford,+44 161 210 5620,https://stores.sainsburys.co.uk/0873/salford?utm_source=gmb&utm_medium=yext&y_source=1_MTU1NjYzMjktNzE1LWxvY2F0aW9uLndlYnNpdGU=,4.2,4877,https://lh5.googleusercontent.com/p/AF1QipOwXqJLD6MBPtlGPfgHmUqCi_j_YcdvsKZhB8OM
,US Four,245 Marsland Rd,Sale,+44 161 962 4314,https://www.facebook.com/usfourbar/,4.6,326,https://lh5.googleusercontent.com/p/AF1QipMOZWuo66lt1RBhmeE-19wzgPfdUF6fX2sQAj0-
,Tesco Extra,Barton Rd,Middleton,+44 345 675 7298,https://www.tesco.com/store-locator/middleton-manchester/barton-rd?sc_cmp=ref*yg*stc*6025&utm_source=yext_google&utm_campaign=local_Extra_England&utm_medium=organic,4,488,https://lh5.googleusercontent.com/p/AF1QipMi3AYHT3Jw5cntLEkxKfMyF7e2i-FVxHIr2ZeB
,Tesco Extra,Ashton Rd W,Failsworth,+44 345 026 9556,https://www.tesco.com/store-locator/manchester/ashton-road?sc_cmp=ref*yg*stc*5447&utm_source=yext_google&utm_campaign=local_Extra_England&utm_medium=organic,3.6,317,https://lh5.googleusercontent.com/p/AF1QipPohTiyYAjtYHBOMaom32loGpe6Id1gkuHj1mpb
,Goldenrod Restaurant,1681 Candia Rd,"Manchester, NH 03109",(603) 623-9469,http://www.goldenrodrestaurant.com/,4.5,2582,https://lh5.googleusercontent.com/p/AF1QipPga5xi5yvuvnM7sjRmzTACJzpPKgh37f1g7Z1I
,Asda Gorton Supermarket,Reddish Ln,Gorton,+44 161 227 5590,http://storelocator.asda.com/store/gorton,3.5,114,https://lh5.googleusercontent.com/p/AF1QipN8XQyyDY_PaEb6Se3AV1-RITG-8TcHoq5ge_tu
,Argos Manchester Fort,"Unit 7A, Fort Shopping Park",Cheetham Hill Rd,+44 345 165 7848,https://www.argos.co.uk/stores/848-manchester-fort?y_source=1_MTk1MzIxNzYtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,3.8,161,https://lh5.googleusercontent.com/p/AF1QipMPotXmd7SoQh_SV-Mbu0f_xsAUwCj7cqogodnP
,Morrisons,408 Reddish Rd,Reddish,+44 161 442 1144,https://my.morrisons.com/storefinder/216,4,1612,https://lh5.googleusercontent.com/p/AF1QipO9cWnbKHTH6Dg4dAbpVkEYmKEyquBpj4pZdo9B
,McDonald's,Traders Ave,Barton Dock Rd,+44 161 749 9659,https://www.mcdonalds.com/gb/en-gb.html?cid=RF:YEXT:GMB:8261340:Clicks:DIRSYN:,3.4,267,https://lh5.googleusercontent.com/p/AF1QipMZsgytza4LJx5kPYlrDkeJQ4fgkD0TFESOuFAz
,Morrisons,Saxon St,Denton,+44 161 337 8613,https://my.morrisons.com/storefinder/93,4,2024,https://lh5.googleusercontent.com/p/AF1QipPim8pHNUJeJaj6DR3RCummYJhy6esgbHkEUlaW
,Argos Manchester Arndale,Manchester Arndale,"Units R10-R19, Marsden Way South",+44 345 165 7661,https://www.argos.co.uk/stores/661-manchester-arndale?y_source=1_MTk1MzE3MTktNzE1LWxvY2F0aW9uLndlYnNpdGU=,3.7,161,https://lh5.googleusercontent.com/p/AF1QipPdpy5WvjFitLjgiTIMhV1jRVcGy_pw4BukIudR
,Poundland,"Unit 8, North City Shopping Centre",Lee Road,+44 161 478 6732,https://www.poundland.co.uk/store-finder,4.3,598,https://lh5.googleusercontent.com/p/AF1QipOSnxFvng7l4WO2NfVrQjmQukt5dyijXV0izi3E
,Sub Zero Nitrogen Ice Cream Manchester NH,119 Hanover St,"Manchester, NH 03101",(603) 782-5937,http://www.subzeroicecream.com/,3.9,53,https://lh5.googleusercontent.com/p/AF1QipMlUsFSVDA4PAsBreCeKg8LEc8Ym_RpDVE3CWLw
,Selfridges Manchester Trafford,60 The Trafford Centre,"Trafford Park, Stretford",+44 800 123400,http://www.selfridges.com/GB/en/features/info/stores/manchester-trafford,4.3,4565,https://lh5.googleusercontent.com/p/AF1QipMJapMxtDBlbDheUE0Zqdldg_hvjKYAGFEwrZQ8
,Poundland,Manchester Arndale,Units 23- 25 New Arkwright Way,+44 161 819 2132,https://www.poundland.co.uk/store-finder,4.2,1632,https://lh5.googleusercontent.com/p/AF1QipM1AYrNfWKzUkwK1JjUNRT-Tx-WVI-m7aXA3Ne-
,Tesco Superstore,Valley Park Rd,Prestwich,+44 345 677 9552,https://www.tesco.com/store-locator/manchester/valley-park-rd?sc_cmp=ref*yg*stc*3041&utm_source=yext_google&utm_campaign=local_Superstore_England&utm_medium=organic,4,443,https://lh5.googleusercontent.com/p/AF1QipPPvrV6aqsauj_0YKhtW8BzS3YusCzE80Rm38AM
,Nearly New Tyres,Unit F/Sandfold La,Manchester,+44 161 248 8668,,4.9,452,
,Ashton Market,Bow St,Ashton-under-Lyne,+44 161 342 3268,https://ashton-market.co.uk/,3.9,4290,https://lh5.googleusercontent.com/p/AF1QipNi3OeXIrxNxGni238sKnWu2KiO35G90eFz4xE-
,"Southfield Commercials Ltd - Commercial truck sales, van sales, Campervan sales",Jct25 M60,SK6 2QE,+44 7790 603002,https://www.southfieldcommercials.co.uk/,3.9,15,https://lh5.googleusercontent.com/p/AF1QipP6Lryf4VDLpVvF4zAvG8tcSlN1Ft1lFcFmjRug
,Morrisons,5 Stanley Rd,Whitefield,+44 161 796 5227,https://my.morrisons.com/storefinder/149,3.9,2350,https://lh5.googleusercontent.com/p/AF1QipOgPfa69mFCkJ_YjwseS18VZGa7VhccTVnWjO13
,North East Ice Cream,,,(888) 805-9010,https://northeasticecream.com/,5,3,https://lh5.googleusercontent.com/p/AF1QipMNxjWVBnYskYCKPvkbtL5YGoxkLaYqMuFw07a1
,Tesco Extra,Tesco Stores Ltd,Altrincham Rd,+44 345 677 9020,https://www.tesco.com/store-locator/manchester/tesco-stores-ltd-a4f0f7fe-4183-4cc3-8ff1-929016da2dea?sc_cmp=ref*yg*stc*2050&utm_source=yext_google&utm_campaign=local_Extra_England&utm_medium=organic,4,479,https://lh5.googleusercontent.com/p/AF1QipPK_qRe6IqAoJB9V71b5PDaEbVzfIaPP1mwg6Wu
,super star ice cream,,,(617) 971-6877,https://superstaricecream.com/,5,4,https://lh5.googleusercontent.com/p/AF1QipPFEyn16uIgy854nscRC_KY-sixDMMvVNdQkX9V
,Scream Truck,30 Hillside Ave,"Springfield, NJ 07081",(908) 367-3930,http://www.screamtruck.com/,4.8,526,https://lh5.googleusercontent.com/p/AF1QipM-HHfe3B1mMi28CAQBqimfFkJ1LIJFJ6hcF5AS
,Argos Denton (Inside Sainsbury's),Oldham St,Denton,+44 345 850 8956,https://www.argos.co.uk/stores/4517-denton-(inside-sainsbury's)?y_source=1_MTk1MzE0NDgtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,3.6,50,https://lh5.googleusercontent.com/p/AF1QipPrZDjwB-lzaolgSoiVaqug4JtGt-9XShcRplWl
,Dylan & Pete's Ice Cream Truck,5 Walters St,"Chelmsford, MA 01824",(978) 454-1141,https://dylanandpetesicecream.com/,4.9,258,https://lh5.googleusercontent.com/p/AF1QipOcTOgqGXaDIGq9m8nrcCPMiBiIALsaTHddfSaH
,Skelmersdale Food Truckstop,11 Paddock Rd,Skelmersdale,+44 1695 768726,,4.4,1049,https://lh5.googleusercontent.com/p/AF1QipPP0MDV2vcivgJE2RTT75wlBJHgAsNh650-ssVz
,Sainsbury's,Unit 24 Golden Way,Urmston,+44 161 210 5616,https://stores.sainsburys.co.uk/2150/urmston?utm_source=gmb&utm_medium=yext&y_source=1_MTU1NjY1MjUtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,4.2,1306,https://lh5.googleusercontent.com/p/AF1QipPtWwvinholbgLFl5XC3Nu7ARnhnMXQk9X2Yz_B
,Boston Ice Cream Truck,,,(617) 642-4194,https://bostonicecreamtruck.com/,5,291,https://lh5.googleusercontent.com/p/AF1QipNismtlfoSAXO9y4qJ7vO0rix_eYWYnQZqcYM1R
,CREAM TIME,188 Park Ave,"East Hartford, CT 06108",(860) 883-5932,http://www.ice-creamtime.com/,4.8,41,https://lh5.googleusercontent.com/p/AF1QipMrn_Cd8ZmPJ4gxzCyaW3mVCDWeq1yLM9omEIQZ
,Warrington Lymm Services,Services,Cliff Ln,+44 1925 757777,http://warrington-services.poi.place/,3.9,2850,https://lh5.googleusercontent.com/p/AF1QipPOerrRfRyRPSSJR_4q4YwofSfch24NwRd6XLE
,Poundland,"Unit 5-6, Droylsden Shopping Centre",Greenside Ln,+44 161 370 4860,https://www.poundland.co.uk/store-finder,4.3,91,https://lh5.googleusercontent.com/p/AF1QipP4QzEFuZyH3LXXV61dmObwRVaAw88klAdKJjlE
,IKEA Manchester,Wellington Rd,Ashton-under-Lyne,+44 1733 520006,https://www.ikea.com/gb/en/stores/manchester/?utm_source=gmblisting&utm_medium=organic&utm_campaign=gmb_manchester&utm_content=&utm_term=interaction,4.2,15782,https://lh5.googleusercontent.com/p/AF1QipM7XuyG9XHn4rDvcHs3bV94qM8xQ6jIJOqXzUe8
,Hazy Ice Cream LLC,55 Fairmount St,"Nashua, NH 03064",(603) 261-2077,,5,6,https://lh5.googleusercontent.com/p/AF1QipNcrROXAlo2fEDZNF43zr6fMkQpwYn8exVMPfYY
,WOFFLE,31 County Rd,Walton,+44 151 245 5680,http://www.woffleonline.com/,4.8,135,https://lh5.googleusercontent.com/p/AF1QipPncMWRWB8H7SGrde4ZbgcWBeu4Ixtfza8TYJm-
,Sainsbury's,Curzon Rd,Sale,+44 161 969 8156,https://stores.sainsburys.co.uk/0540/sale?utm_source=gmb&utm_medium=yext&y_source=1_MTU1Njc5MzgtNzE1LWxvY2F0aW9uLndlYnNpdGU=,4.1,2237,https://lh5.googleusercontent.com/p/AF1QipNDTWsV_RG9i7o8Sjn1788o_rUVTcLoN27tF36f
,B&M Home Store with Garden Centre,Snipe Retail Park Snipe Way,Audenshaw,+44 330 838 9593,https://www.bmstores.co.uk/stores/ashton-under-lyne-snipe-retail-park-593,4.2,1707,https://lh5.googleusercontent.com/p/AF1QipPiUqQWlZgUHeLADhtu-MPQYdMV5zaX2z3ilLjk
,Chet's Italian Ice,,,(860) 922-1489,http://www.chetsitalianice.com/,5,1,https://lh5.googleusercontent.com/p/AF1QipPKiocAA5A3SkJ1dioQuWwm2kkM40HvChUxkZxw
,Sainsbury's,Wilmslow Rd,Cheadle,+44 161 428 7714,https://stores.sainsburys.co.uk/0772/cheadle?utm_source=gmb&utm_medium=yext&y_source=1_MTU1NjY4NjQtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,4.2,2290,https://lh5.googleusercontent.com/p/AF1QipNEIPqeHZ2i2tvvWeY6BFBdKrl9-7oJFsiI8RbV
,Whitby Morrison,Fourth Avenue,Crewe Gates Industrial Estate Weston Rd,+44 1270 581318,http://www.whitbymorrison.com/,4.7,23,https://lh5.googleusercontent.com/p/AF1QipO6ZQk1V9fCQTbEgAAPYYYbiBBZsLqUt1mGtwhY
,Quality Save,"Unit G1, Middleton Shopping Centre",Middleton,+44 161 393 7958,http://www.qualitysave.co.uk/,4.3,398,https://lh5.googleusercontent.com/p/AF1QipNgO9a4YbKlrRu_Fyz7kLlNpOP--5tlkar1KiE3
,Morrisons,Edgeley Rd,Cheadle Heath,+44 161 477 7557,https://my.morrisons.com/storefinder/122,4,3525,https://lh5.googleusercontent.com/p/AF1QipOxYaGAzlAVVx9o37f04QTkcJXRu0LDzRFYdhxu
,Fletcher Moss Botanical Garden,100 Millgate Ln,Didsbury,,http://www.fletchermossgardens.org.uk/,4.8,561,https://lh5.googleusercontent.com/p/AF1QipMgiSvaEUgsYZptcXCRzjodlRRgh0206EEU8KoS
,Chip'd Chester,124 Northgate St,Chester,,https://chipdchester.com/,4.3,283,https://lh5.googleusercontent.com/p/AF1QipOuW2oMRFPgWBKZqXxnrrrQ9Xd7pSZRhVp7W5P1
,B&M Store,Unit A,"Civic Centre, Wythenshawe",+44 330 838 9004,https://www.bmstores.co.uk/stores/wythenshawe-4,4.2,628,https://lh5.googleusercontent.com/p/AF1QipNvDJFTf5ooL02ZMe98uUzZ5YCGMVDKSPLN8muJ
,Tesco Superstore,Hereford St,Sale,+44 345 677 9601,https://www.tesco.com/store-locator/sale/hereford-st?sc_cmp=ref*yg*stc*3147&utm_source=yext_google&utm_campaign=local_Superstore_England&utm_medium=organic,3.8,222,https://lh5.googleusercontent.com/p/AF1QipO8HnWqWtNOr8UTE4PNwx5EzrzH71OfB_3SkAZ6
,M&S Simply Food,"M62 Junction 18-19,Westbound, Upper NewtownaRoads Road",Middleton,+44 161 654 6360,https://www.marksandspencer.com/stores/birch-west-m62-moto-simply-food-3748?extid=local,3.7,64,https://lh5.googleusercontent.com/p/AF1QipMm3YVbTUmK5ccGWi878NQJErEdbY_MNJ_D2NEk
,Sainsbury's,2 Lord Sheldon Way,Ashton-under-Lyne,+44 161 343 6816,https://stores.sainsburys.co.uk/2054/ashton-moss?utm_source=gmb&utm_medium=yext&y_source=1_MTU1NjcxMjEtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,4.2,3448,https://lh5.googleusercontent.com/p/AF1QipPGdXJ7RUWMziB3GOaIHvLuPmKLYCPLSuvlZhSb
